regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,page
2025_PACCC,2025_PACCC-71,2025-07-05,8:00,71,Senior A Femmes/Women,Heat 1,500,1,,H2O - Senior A Femmes Orange,,1,02:26.1,V_Sat
2025_PACCC,2025_PACCC-71,2025-07-05,8:00,71,Senior A Femmes/Women,Heat 1,500,2,,Evolution Paddling Club,,5,02:45.6,V_Sat
2025_PACCC,2025_PACCC-71,2025-07-05,8:00,71,Senior A Femmes/Women,Heat 1,500,3,,ODBC Dracona,,3,02:28.6,V_Sat
2025_PACCC,2025_PACCC-71,2025-07-05,8:00,71,Senior A Femmes/Women,Heat 1,500,4,,22Dragons,,2,02:28.4,V_Sat
2025_PACCC,2025_PACCC-71,2025-07-05,8:00,71,Senior A Femmes/Women,Heat 1,500,5,,Bytown Fire,,4,02:29.4,V_Sat
2025_PACCC,2025_PACCC-72,2025-07-05,8:05,72,Senior A Femmes/Women,Heat 2,500,2,,H2O - Senior A Femmes Bleu,,1,02:23.5,V_Sat
2025_PACCC,2025_PACCC-72,2025-07-05,8:05,72,Senior A Femmes/Women,Heat 2,500,3,,H2O Quebec - Senior A Femmes,,2,02:26.9,V_Sat
2025_PACCC,2025_PACCC-72,2025-07-05,8:05,72,Senior A Femmes/Women,Heat 2,500,4,,Puerto Aventuras DBC,,,DNS,V_Sat
2025_PACCC,2025_PACCC-72,2025-07-05,8:05,72,Senior A Femmes/Women,Heat 2,500,5,,Bytown Water,,3,02:28.7,V_Sat
2025_PACCC,2025_PACCC-73,2025-07-05,8:10,73,Community Mixte/Mixed,Heat 1,500,1,,True North Leviathan Red,,2,02:16.0,V_Sat
2025_PACCC,2025_PACCC-73,2025-07-05,8:10,73,Community Mixte/Mixed,Heat 1,500,2,,Kingston Dragonflyr's,,,DNF,V_Sat
2025_PACCC,2025_PACCC-73,2025-07-05,8:10,73,Community Mixte/Mixed,Heat 1,500,3,,Fujian Luxkoo Team,,1,02:14.9,V_Sat
2025_PACCC,2025_PACCC-73,2025-07-05,8:10,73,Community Mixte/Mixed,Heat 1,500,4,,Tsunami,,3,02:18.3,V_Sat
2025_PACCC,2025_PACCC-73,2025-07-05,8:10,73,Community Mixte/Mixed,Heat 1,500,5,,Artelia,,5,02:27.7,V_Sat
2025_PACCC,2025_PACCC-73,2025-07-05,8:10,73,Community Mixte/Mixed,Heat 1,500,6,,Maki Catta,,4,02:18.7,V_Sat
2025_PACCC,2025_PACCC-74,2025-07-05,8:15,74,Community Mixte/Mixed,Heat 2,500,1,,Nansea Serpents,,6,02:47.5,V_Sat
2025_PACCC,2025_PACCC-74,2025-07-05,8:15,74,Community Mixte/Mixed,Heat 2,500,2,,Beijing,,5,02:22.2,V_Sat
2025_PACCC,2025_PACCC-74,2025-07-05,8:15,74,Community Mixte/Mixed,Heat 2,500,3,,Titans Maelstrom,,4,02:17.0,V_Sat
2025_PACCC,2025_PACCC-74,2025-07-05,8:15,74,Community Mixte/Mixed,Heat 2,500,4,,Ohana New England - Rogue ONE,,3,02:16.2,V_Sat
2025_PACCC,2025_PACCC-74,2025-07-05,8:15,74,Community Mixte/Mixed,Heat 2,500,5,,Restaurant Kim Fung Chinatown Powered by Typhon,,2,02:15.3,V_Sat
2025_PACCC,2025_PACCC-74,2025-07-05,8:15,74,Community Mixte/Mixed,Heat 2,500,6,,Bananaship,,1,02:14.3,V_Sat
2025_PACCC,2025_PACCC-75,2025-07-05,8:20,75,Senior A Open,Heat,500,1,,H2O - Senior A Open,,1,02:19.2,V_Sat
2025_PACCC,2025_PACCC-75,2025-07-05,8:20,75,Senior A Open,Heat,500,2,,Puerto Aventuras DBC,,5,02:31.9,V_Sat
2025_PACCC,2025_PACCC-75,2025-07-05,8:20,75,Senior A Open,Heat,500,3,,22Dragons Blanc,,4,02:25.8,V_Sat
2025_PACCC,2025_PACCC-75,2025-07-05,8:20,75,Senior A Open,Heat,500,4,,Evolution Paddling Club,,3,02:22.4,V_Sat
2025_PACCC,2025_PACCC-75,2025-07-05,8:20,75,Senior A Open,Heat,500,5,,22Dragons Bleu,,2,02:20.9,V_Sat
2025_PACCC,2025_PACCC-76,2025-07-05,8:25,76,Senior C & 24U Femmes/Women,Heat,500,1,,H2O - Senior C Femmes,,3,02:33.4,V_Sat
2025_PACCC,2025_PACCC-76,2025-07-05,8:25,76,Senior C & 24U Femmes/Women,Heat,500,2,,Heat DBC,,5,02:40.0,V_Sat
2025_PACCC,2025_PACCC-76,2025-07-05,8:25,76,Senior C & 24U Femmes/Women,Heat,500,3,,22Dragons,,2,02:33.0,V_Sat
2025_PACCC,2025_PACCC-76,2025-07-05,8:25,76,Senior C & 24U Femmes/Women,Heat,500,4,,Dragonheart Vermont Comets,,6,02:49.4,V_Sat
2025_PACCC,2025_PACCC-76,2025-07-05,8:25,76,Senior C & 24U Femmes/Women,Heat,500,5,,H2O - U24 Femmes (24U),,1,02:33.0,V_Sat
2025_PACCC,2025_PACCC-76,2025-07-05,8:25,76,Senior C & 24U Femmes/Women,Heat,500,6,,Concordia Uni. PaddlePuff Girls (24U),,4,02:37.3,V_Sat
2025_PACCC,2025_PACCC-77,2025-07-05,8:30,77,Senior C Femmes/Women,Heat,500,2,,Bytown Super C's,,1,02:18.7,V_Sat
2025_PACCC,2025_PACCC-77,2025-07-05,8:30,77,Senior C Femmes/Women,Heat,500,3,,Pickering Dragon Boat Club,,3,02:23.8,V_Sat
2025_PACCC,2025_PACCC-77,2025-07-05,8:30,77,Senior C Femmes/Women,Heat,500,4,,ODBC Dragon Masters,,2,02:19.2,V_Sat
2025_PACCC,2025_PACCC-78,2025-07-05,8:35,78,Community Mixte/Mixed,Heat 3,500,1,,Fujian HuaCheng Intl,,3,02:23.7,V_Sat
2025_PACCC,2025_PACCC-78,2025-07-05,8:35,78,Community Mixte/Mixed,Heat 3,500,2,,Phoenix Warriors,,2,02:20.7,V_Sat
2025_PACCC,2025_PACCC-78,2025-07-05,8:35,78,Community Mixte/Mixed,Heat 3,500,3,,Restaurant Kim Fung Chinatown Powered by Exocet,,5,02:29.4,V_Sat
2025_PACCC,2025_PACCC-78,2025-07-05,8:35,78,Community Mixte/Mixed,Heat 3,500,4,,True North Leviathan Orange,,1,02:19.6,V_Sat
2025_PACCC,2025_PACCC-78,2025-07-05,8:35,78,Community Mixte/Mixed,Heat 3,500,5,,BDHQ,,4,02:29.2,V_Sat
2025_PACCC,2025_PACCC-78,2025-07-05,8:35,78,Community Mixte/Mixed,Heat 3,500,6,,Kingston Dragonflyr's,,6,02:45.1,V_Sat
2025_PACCC,2025_PACCC-79,2025-07-05,8:40,79,24U & 18U Open,Heat,500,1,,22Dragons (18U),,3,02:24.7,V_Sat
2025_PACCC,2025_PACCC-79,2025-07-05,8:40,79,24U & 18U Open,Heat,500,2,,HVC Hyperion (18U),,5,02:25.7,V_Sat
2025_PACCC,2025_PACCC-79,2025-07-05,8:40,79,24U & 18U Open,Heat,500,4,,Universite de Montreal Titanic,,4,02:25.5,V_Sat
2025_PACCC,2025_PACCC-79,2025-07-05,8:40,79,24U & 18U Open,Heat,500,5,,McGill DragonBoat Z - Piccolo,,2,02:22.4,V_Sat
2025_PACCC,2025_PACCC-79,2025-07-05,8:40,79,24U & 18U Open,Heat,500,6,,Concordia University ConcorDIVAS,,1,02:21.1,V_Sat
2025_PACCC,2025_PACCC-80,2025-07-05,8:45,80,Community Mixte/Mixed,Heat 4,500,1,,Kraken Crew,,6,02:31.8,V_Sat
2025_PACCC,2025_PACCC-80,2025-07-05,8:45,80,Community Mixte/Mixed,Heat 4,500,2,,True North Leviathan Gold,,2,02:15.9,V_Sat
2025_PACCC,2025_PACCC-80,2025-07-05,8:45,80,Community Mixte/Mixed,Heat 4,500,3,,Red Pandas,,5,02:24.5,V_Sat
2025_PACCC,2025_PACCC-80,2025-07-05,8:45,80,Community Mixte/Mixed,Heat 4,500,4,,Boston 1,,1,02:14.7,V_Sat
2025_PACCC,2025_PACCC-80,2025-07-05,8:45,80,Community Mixte/Mixed,Heat 4,500,5,,Universite de Montreal Boeing,,4,02:24.1,V_Sat
2025_PACCC,2025_PACCC-80,2025-07-05,8:45,80,Community Mixte/Mixed,Heat 4,500,6,,Plantain Boat,,3,02:20.2,V_Sat
2025_PACCC,2025_PACCC-81,2025-07-05,8:50,81,18U & 16U Femmes/Women,Heat,500,1,,22Dragons (18U),,1,02:34.8,V_Sat
2025_PACCC,2025_PACCC-81,2025-07-05,8:50,81,18U & 16U Femmes/Women,Heat,500,2,,SAGHS Sea Serpents (18U),,5,02:51.1,V_Sat
2025_PACCC,2025_PACCC-81,2025-07-05,8:50,81,18U & 16U Femmes/Women,Heat,500,4,,H2O Fujian Junior Femmes (16U),,3,02:43.8,V_Sat
2025_PACCC,2025_PACCC-81,2025-07-05,8:50,81,18U & 16U Femmes/Women,Heat,500,5,,H2O Junior Femmes (16U),,4,02:50.5,V_Sat
2025_PACCC,2025_PACCC-81,2025-07-05,8:50,81,18U & 16U Femmes/Women,Heat,500,6,,Bytown Sportchicklets (16U),,2,02:43.8,V_Sat
2025_PACCC,2025_PACCC-82,2025-07-05,8:55,82,Senior C Open,Heat,500,1,,ODBC Dragon Masters,,1,02:21.8,V_Sat
2025_PACCC,2025_PACCC-82,2025-07-05,8:55,82,Senior C Open,Heat,500,2,,H2O - Senior C Open,,5,02:25.3,V_Sat
2025_PACCC,2025_PACCC-82,2025-07-05,8:55,82,Senior C Open,Heat,500,3,,22Dragons,,4,02:24.4,V_Sat
2025_PACCC,2025_PACCC-82,2025-07-05,8:55,82,Senior C Open,Heat,500,4,,Bytown Ship of Pain,,3,02:24.1,V_Sat
2025_PACCC,2025_PACCC-82,2025-07-05,8:55,82,Senior C Open,Heat,500,5,,Dragon Beasts,,2,02:23.1,V_Sat
2025_PACCC,2025_PACCC-83,2025-07-05,9:00,83,Community Mixte/Mixed,Heat 5,500,1,,TNT,,3,02:19.9,V_Sat
2025_PACCC,2025_PACCC-83,2025-07-05,9:00,83,Community Mixte/Mixed,Heat 5,500,2,,McGill DBZ - Vegeta,,4,02:20.2,V_Sat
2025_PACCC,2025_PACCC-83,2025-07-05,9:00,83,Community Mixte/Mixed,Heat 5,500,3,,Dragon Wings,,5,02:20.6,V_Sat
2025_PACCC,2025_PACCC-83,2025-07-05,9:00,83,Community Mixte/Mixed,Heat 5,500,4,,Tempest Astro,,1,02:10.9,V_Sat
2025_PACCC,2025_PACCC-83,2025-07-05,9:00,83,Community Mixte/Mixed,Heat 5,500,5,,Bell Vikings,,6,03:10.6,V_Sat
2025_PACCC,2025_PACCC-83,2025-07-05,9:00,83,Community Mixte/Mixed,Heat 5,500,6,,UA Dragons,,2,02:15.5,V_Sat
2025_PACCC,2025_PACCC-84,2025-07-05,9:05,84,Community Mixte/Mixed,Heat 6,500,1,,Tempest Nova,,2,02:21.6,V_Sat
2025_PACCC,2025_PACCC-84,2025-07-05,9:05,84,Community Mixte/Mixed,Heat 6,500,2,,Fyujon Maelstrom,,3,02:21.9,V_Sat
2025_PACCC,2025_PACCC-84,2025-07-05,9:05,84,Community Mixte/Mixed,Heat 6,500,3,,Maitres Dragons,,1,02:21.4,V_Sat
2025_PACCC,2025_PACCC-84,2025-07-05,9:05,84,Community Mixte/Mixed,Heat 6,500,4,,Hubei CCFPA DB Team,,5,02:25.3,V_Sat
2025_PACCC,2025_PACCC-84,2025-07-05,9:05,84,Community Mixte/Mixed,Heat 6,500,5,,DaCatch,,4,02:24.5,V_Sat
2025_PACCC,2025_PACCC-85,2025-07-05,9:10,85,Senior A Femmes/Women,Repechage,500,1,,Evolution Paddling Club,,5,02:42.3,V_Sat
2025_PACCC,2025_PACCC-85,2025-07-05,9:10,85,Senior A Femmes/Women,Repechage,500,2,,Bytown Water,,2,02:27.4,V_Sat
2025_PACCC,2025_PACCC-85,2025-07-05,9:10,85,Senior A Femmes/Women,Repechage,500,3,,22Dragons,,1,02:26.5,V_Sat
2025_PACCC,2025_PACCC-85,2025-07-05,9:10,85,Senior A Femmes/Women,Repechage,500,4,,ODBC Dracona,,4,02:29.6,V_Sat
2025_PACCC,2025_PACCC-85,2025-07-05,9:10,85,Senior A Femmes/Women,Repechage,500,5,,Bytown Fire,,3,02:28.8,V_Sat
2025_PACCC,2025_PACCC-86,2025-07-05,9:15,86,Senior A Open,Final,500,1,,Puerto Aventuras DBC,,5,02:32.6,V_Sat
2025_PACCC,2025_PACCC-86,2025-07-05,9:15,86,Senior A Open,Final,500,2,,Evolution Paddling Club,,2,02:21.3,V_Sat
2025_PACCC,2025_PACCC-86,2025-07-05,9:15,86,Senior A Open,Final,500,3,,H2O - Senior A Open,,1,02:17.1,V_Sat
2025_PACCC,2025_PACCC-86,2025-07-05,9:15,86,Senior A Open,Final,500,4,,22Dragons Bleu,,3,02:21.4,V_Sat
2025_PACCC,2025_PACCC-86,2025-07-05,9:15,86,Senior A Open,Final,500,5,,22Dragons Blanc,,4,02:26.6,V_Sat
2025_PACCC,2025_PACCC-87,2025-07-05,9:20,87,Senior C Femmes/Women,Final,500,2,,Pickering Dragon Boat Club,,3,02:25.9,V_Sat
2025_PACCC,2025_PACCC-87,2025-07-05,9:20,87,Senior C Femmes/Women,Final,500,3,,Bytown Super C's,,1,02:17.8,V_Sat
2025_PACCC,2025_PACCC-87,2025-07-05,9:20,87,Senior C Femmes/Women,Final,500,4,,ODBC Dragon Masters,,2,02:19.0,V_Sat
2025_PACCC,2025_PACCC-88,2025-07-05,9:25,88,Community Femmes/Women,Heat 1,500,2,,Cascades,,3,02:33.1,V_Sat
2025_PACCC,2025_PACCC-88,2025-07-05,9:25,88,Community Femmes/Women,Heat 1,500,3,,La Galère,,1,02:29.5,V_Sat
2025_PACCC,2025_PACCC-88,2025-07-05,9:25,88,Community Femmes/Women,Heat 1,500,4,,Montreal Waves,,2,02:30.9,V_Sat
2025_PACCC,2025_PACCC-88,2025-07-05,9:25,88,Community Femmes/Women,Heat 1,500,5,,Lez Boat,,4,02:36.9,V_Sat
2025_PACCC,2025_PACCC-89,2025-07-05,9:30,89,Senior C & 24U Femmes/Women,Final,500,1,,Heat DBC,,3,02:42.0,V_Sat
2025_PACCC,2025_PACCC-89,2025-07-05,9:30,89,Senior C & 24U Femmes/Women,Final,500,2,,22Dragons,,2,02:35.0,V_Sat
2025_PACCC,2025_PACCC-89,2025-07-05,9:30,89,Senior C & 24U Femmes/Women,Final,500,3,,H2O - Senior C Femmes,,1,02:34.3,V_Sat
2025_PACCC,2025_PACCC-89,2025-07-05,9:30,89,Senior C & 24U Femmes/Women,Final,500,4,,Dragonheart Vermont Comets,,4,02:50.2,V_Sat
2025_PACCC,2025_PACCC-89,2025-07-05,9:30,89,Senior C & 24U Femmes/Women,Final,500,5,,Concordia Uni. PaddlePuff Girls (24U),,2,02:38.8,V_Sat
2025_PACCC,2025_PACCC-89,2025-07-05,9:30,89,Senior C & 24U Femmes/Women,Final,500,6,,H2O - U24 Femmes (24U),,1,02:32.8,V_Sat
2025_PACCC,2025_PACCC-90,2025-07-05,9:35,90,24U & 18U Open,Final,500,1,,HVC Hyperion (18U),,2,02:25.0,V_Sat
2025_PACCC,2025_PACCC-90,2025-07-05,9:35,90,24U & 18U Open,Final,500,2,,22Dragons (18U),,1,02:21.3,V_Sat
2025_PACCC,2025_PACCC-90,2025-07-05,9:35,90,24U & 18U Open,Final,500,4,,Universite de Montreal Titanic,,3,02:24.1,V_Sat
